id,price_doc
30474,5316517.29
30475,8689800.31
30476,5616224.0
30477,6521053.24
30478,4986849.5
30479,9481519.55
30480,4573363.02
30481,4356746.93
30482,3890382.5
30483,5458627.87
30484,5947822.29
30485,4990964.73
30486,4154537.16
30487,4628885.4
30488,7735238.16
30489,5587308.88
30490,22384667.19
30491,20488355.11
30492,6367637.18
30493,13705599.11
30494,7406685.05
30495,12480477.7
30496,8147328.61
30497,8105784.32
30498,4523950.0
30499,6293090.3
30500,12627601.86
30501,6767457.0
30502,3616398.06
30503,4052857.91
30504,6177413.84
30505,10594046.6
30506,2977283.49
30507,5045976.35
30508,5884579.52
30509,8197295.78
30510,9053000.89
30511,6227635.49
30512,6493853.73
30513,4579447.58
30514,3786094.78
30515,10658594.16
30516,6097907.24
30517,11049297.63
30518,6192026.48
30519,4644900.0
30520,6196770.11
30521,3004754.7
30522,7344959.57
30523,6263453.53
30524,9965646.85
30525,11640033.81
30526,5283964.61
30527,5213013.38
30528,5710408.01
30529,6454705.48
30530,6634296.68
30531,13685456.08
30532,3907987.44
30533,11427847.97
30534,7175944.98
30535,9344848.79
30536,5420165.54
30537,12338185.71
30538,5322178.34
30539,10739925.19
30540,9561931.33
30541,6099992.86
30542,2389270.7
30543,5181890.76
30544,6345563.68
30545,9052635.36
30546,4199700.77
30547,10556218.18
30548,4402717.82
30549,5536114.8
30550,10717983.42
30551,5696140.19
30552,2090918.8
30553,6933935.8
30554,10967869.94
30555,6453572.08
30556,9195358.13
30557,6928102.83
30558,9069958.35
30559,6187102.17
30560,6726782.69
30561,7485485.13
30562,13572329.33
30563,4665554.28
30564,6949677.02
30565,7603609.16
30566,7282984.08
30567,2366172.9
30568,11547906.25
30569,9881589.95
30570,6834809.67
30571,8359196.94
30572,5351880.52
30573,6269660.47
30574,6578507.26
30575,8282184.26
30576,4725402.3
30577,4517078.56
30578,2977481.91
30579,6596343.81
30580,4497343.7
30581,4999297.76
30582,12689795.01
30583,7397793.78
30584,4227772.45
30585,2943700.29
30586,9295458.41
30587,5863147.6
30588,6866613.27
30589,7527336.93
30590,10948989.45
30591,4986406.14
30592,6447185.29
30593,8635683.56
30594,6545918.41
30595,5299186.4
30596,6610421.36
30597,6269452.34
30598,9365164.04
30599,10320605.1
30600,4842832.82
30601,6596585.82
30602,2359728.72
30603,12949081.51
30604,4671200.0
30605,6609665.97
